source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Asphalt and Road Oil,False,False,False,3.15560755189492,L,44.0371706969117,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Mixed (Commercial Sector),False,False,False,2.23999885624178,kg,24.87657,,12.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Mixed (Electric Power Sector),False,False,False,2.09334645554113,kg,22.94599,,10.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Mixed (Industrial Coking),False,False,False,2.74136992207342,kg,30.56364,,12.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Mixed (Industrial Sector),False,False,False,2.35038642735547,kg,25.99305,,12.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Coal Coke,False,False,False,3.12744414109082,kg,28.8424,,15.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Municipal Solid Waste,False,False,False,1.01683208427867,kg,11.57185,,2.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Petroleum Coke (Solid),False,False,False,3.45306734326241,kg,34.89,,95.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Plastics,False,False,False,3.22573988623309,kg,44.194,,65.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Tires,False,False,False,2.71544691106687,kg,32.564,,45.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Agricultural Byproducts (Non Biogenic),False,False,False,1.09291603604355,kg,9.59475,,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Peat (Non Biogenic),False,False,False,1.00397632349945,kg,9.304,,15.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Solid Byproducts (Non Biogenic),False,False,False,1.23141666823011,kg,12.08357,,5.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Wood and Wood Residuals (Non Biogenic),False,False,False,1.82964264588489,kg,20.32924,,25.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Aviation Gasoline,False,False,False,2.20297301447083,L,33.4459524280341,,95.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Butane,False,False,False,1.76898561878518,L,28.7077758340626,,58.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Butylene,False,False,False,1.91290021293271,L,29.2652083745299,,50.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Crude Oil,False,False,False,2.72626984850774,L,38.4628452922392,,75.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Distillate Fuel Oil No. 1,False,False,False,2.69865673636172,L,38.7415615624728,,87.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Distillate Fuel Oil No. 2,False,False,False,2.70512551741465,L,38.4628452922392,,87.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Distillate Fuel Oil No. 4,False,False,False,2.90359903724926,L,40.6925754541082,,87.5
